Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4000,-0.3001563,1.4189386,0.0002982498,-174.80320521700196,3766.0,-174.8031997680664
6000,-0.285131,1.4189383,0.00029683803,None,None,None
8000,-0.23343205,1.4189385,0.000295738,-582.6658690543845,4495.0,None
10000,-0.13226907,1.4189384,0.00029469066,-231.1663802494295,110.0,-406.91612815856934
12000,-0.31797048,1.4194766,0.0002933031,-76.1062419519294,2457.0,-76.10624539852142
14000,-0.2511764,1.4194765,0.00029220086,-270.5656536424067,3183.0,None
16000,-0.17508322,1.4194763,0.00029128318,None,None,-270.5656547546387
18000,-0.24333963,1.4194763,0.00029008318,None,None,None
20000,-0.17799462,1.4194765,0.00028870322,-571.6516176697332,4495.0,-571.6516265869141
22000,-0.26873377,1.4195658,0.0002873832,None,None,None
24000,-0.36063385,1.4195659,0.00028628297,92.6728437221609,4496.0,92.67284321784973
26000,-0.4423133,1.4195658,0.00028528261,None,None,None
28000,-0.41369057,1.419566,0.00028397626,-400.0468438157113,3264.0,-400.0468521118164
30000,-0.36183167,1.4195658,0.00028272177,None,None,None
32000,-0.43541536,1.4193072,0.0002813418,-426.56163174228277,4495.0,-426.56164169311523
34000,-0.5253577,1.4192426,0.00028002184,None,None,None
36000,-0.59861267,1.4192426,0.00027892154,-25.931353864842094,4496.0,-25.93134903907776
38000,-0.41165215,1.4192426,0.0002779212,None,None,None
40000,-0.49793682,1.4192426,0.0002765409,13.86380936182104,4496.0,13.86381185054779
42000,-0.4370437,1.4191785,0.0002752206,None,None,None
44000,-0.39127564,1.4191144,0.00027412036,-693.333864971064,4496.0,None
46000,-0.3794332,1.4191145,0.00027312,None,None,-693.333854675293
48000,-0.37562272,1.4191144,0.00027192003,None,None,None
50000,-0.3895866,1.4191144,0.00027053972,-348.7895010013599,4496.0,-348.78949642181396
52000,-0.36586952,1.4191144,0.00026929443,-200.42934480984695,3596.0,None
54000,-0.41738516,1.4190904,0.0002682594,None,None,-200.42934799194336
56000,-0.52776694,1.4190904,0.00026705943,None,None,None
58000,-0.54611874,1.4190905,0.0002656794,-30.7565347609343,4495.0,-30.756532192230225
60000,-0.6578077,1.4190904,0.00026435946,None,None,None
62000,-0.68200105,1.4190905,0.00026325913,-149.4651509061223,4496.0,-149.46514797210693
64000,-0.63363636,1.4189119,0.0002622589,None,None,None
