Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,-0.1622424,5.5821414,0.13353047,1.4190764,0.00029935714,-103.34044041264133,4495.0,-103.34044380187989
90000,-0.10151372,4.476151,0.13185295,1.4188535,0.00029890492,55.99812904994396,4496.0,82.03082635667589
120000,0.19124302,4.943238,0.11287592,1.4186558,0.00029849986,None,None,-178.29614639282227
150000,0.64876246,5.7748594,0.15104389,1.41852,0.00029800695,269.9923536387476,4496.0,269.9923512458801
180000,1.2113334,6.6038566,0.1361524,1.4181972,0.00029755465,549.8874386782176,4496.0,541.8020157284207
210000,2.1183665,9.21145,0.14472698,1.4180423,0.00029714959,None,None,622.6561508178711
240000,2.6884727,9.237238,0.14900257,1.4178715,0.0002966566,754.7340984323557,4496.0,754.7341011047363
270000,3.287019,10.762654,0.17453898,1.4177018,0.00029620435,727.8303814863145,4496.0,756.5687448448605
300000,4.3527737,9.650176,0.18194601,1.4179013,0.00029579925,None,None,469.18511390686035
330000,5.133044,10.93107,0.16956663,1.4179298,0.00029530632,841.6915285444004,4496.0,841.6915209770202
360000,5.565834,9.674131,0.16417874,1.4178534,0.00029485405,798.6526493249403,4496.0,773.2879721323649
390000,6.4118075,11.418732,0.14483511,1.417567,0.00029444898,None,None,1026.9347534179688
420000,7.0450253,9.928218,0.19732824,1.4173728,0.00029395602,863.2964958509431,4496.0,863.2964925765991
450000,7.362474,10.903216,0.17926182,1.4171934,0.00029350372,866.9829843973624,4496.0,849.1718303892347
480000,8.558241,10.199376,0.17461655,1.4169921,0.00029309865,None,None,1027.283447265625
510000,9.698227,11.616865,0.14226195,1.4169323,0.00029260572,1035.3211868744809,4496.0,1035.3211826324464
540000,11.053096,12.28009,0.12235253,1.4169391,0.00029215342,1040.9118463209131,4496.0,1041.110755496555
570000,11.8634615,10.484842,0.17381349,1.4167315,0.00029174838,None,None,1039.1216735839844
600000,13.221391,11.33284,0.13554165,1.4165109,0.00029125542,1122.535222866584,4496.0,1122.5352230072021
630000,14.364131,10.634297,0.15832946,1.4164752,0.00029080317,1157.6892647908303,4496.0,1156.5489230685764
660000,15.494129,11.307763,0.0968821,1.4163531,0.00029039805,None,None,1167.9524383544922
690000,16.035217,10.872817,0.15907568,1.416129,0.00028990515,1181.784826936014,4496.0,1181.7848289489746
720000,16.943584,10.381706,0.14523368,1.4158868,0.00028945284,1206.2439454182982,4496.0,1206.8384789360894
750000,17.842318,10.950039,0.10648638,1.4156754,0.00028904775,None,None,1200.8931884765625
780000,18.63336,10.423903,0.14436089,1.4155573,0.00028855482,1241.3109525976238,4496.0,1241.3109375
