Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
2000,1.4188533,0.00029940179,-7.110040441441729,3.9382716049382718,0.0734394,-7.1165704966181575,18.308842,1.9260687
4000,1.4187031,0.000298202,-7.197601976293258,4.012531328320802,0.0807426,-7.1880811620176885,16.951439,1.8086673
6000,1.419162,0.0002970021,-7.63130763625965,4.2356020942408374,-0.07443569,-7.643248713765469,52.29177,1.2281106
8000,1.4197503,0.00029580103,-6.9484164498216865,3.9950124688279303,-0.13672473,-6.942582043477722,16.802378,1.734549
10000,1.419862,0.00029460102,-7.253085928079672,3.9925,-0.14729114,-7.259988073110581,17.365364,1.76533
12000,1.4201114,0.0002934012,-7.146470245189926,4.162371134020619,-0.16061102,-7.13568623548316,16.027681,1.7838272
14000,1.4204085,0.0002921996,-6.886854282187269,4.005,-0.13931292,-6.887740086615086,15.524476,1.7353512
16000,1.4210076,0.00029100012,-7.00222638765679,3.9651741293532337,-0.09993526,-7.0017153358281545,16.09378,1.8366147
18000,1.4216478,0.00028980136,-7.022298341640447,4.037783375314861,-0.08968187,-7.0234697327505735,16.665585,1.8141372
20000,1.4216654,0.0002886014,-6.910480010936348,3.7595238095238095,-0.04857167,-6.909081531706311,16.81102,1.8564948
22000,1.4219677,0.0002874019,-6.817816198959838,3.8661800486618003,0.0046773637,-6.819705880181343,17.032476,1.9353118
24000,1.4217341,0.00028620183,-6.882987615800031,3.8780487804878048,-0.033684034,-6.884766842533902,16.512215,1.8572643
26000,1.4216375,0.00028500066,-7.0031999913183975,4.01,-0.03537278,-7.002398800253868,16.27955,1.8519651
28000,1.4216613,0.0002838002,-6.937024468948802,4.045454545454546,-0.04046653,-6.930603651687353,15.359095,1.7877313
30000,1.422032,0.0002826015,-7.023476506709103,4.230366492146596,0.005582787,-7.034297952789287,16.588615,1.8525283
32000,1.4224211,0.00028139979,-6.88375540171517,4.0175,0.008693257,-6.881641009151935,16.360857,1.714459
34000,1.4229307,0.00028019893,-6.845154608781666,4.091836734693878,0.03142841,-6.846074661506074,15.865615,1.7747512
36000,1.4235367,0.00027900084,-6.795786902116787,3.835351089588378,0.056011047,-6.79061817906382,16.488688,1.874002
38000,1.424107,0.0002778012,-6.786679203781223,4.10969387755102,0.08444621,-6.784158742245363,15.379583,1.709002
40000,1.4246165,0.00027660094,-6.926200657020822,4.149484536082475,0.06962695,-6.936502691396733,15.795987,1.8421731
42000,1.4248794,0.00027540015,-6.68203340484466,4.073417721518988,-0.08743201,-6.65946566032458,18.340633,1.6655099
44000,1.4248651,0.00027420008,-6.772521278473423,3.9651741293532337,-0.098991565,-6.789996452592499,14.606271,1.7513103
46000,1.4252203,0.00027300033,-6.405228163785139,3.8973105134474326,-0.1224069,-6.412845227712524,16.205814,1.612522
48000,1.4254295,0.00027180059,-6.420096479399831,4.189610389610389,-0.111857764,-6.423148699549886,14.605954,1.8047864
50000,1.425762,0.00027060072,-6.243674603797189,4.063291139240507,-0.12266131,-6.238976174064829,14.274765,1.6264033
52000,1.4262427,0.00026940106,-6.240276166832051,4.060759493670886,-0.12746276,-6.2303976058959964,13.304233,1.7235318
54000,1.4266771,0.0002682015,-6.38484431817367,4.2356020942408374,-0.17079431,-6.391769502175416,13.78615,1.7107619
56000,1.4274559,0.00026699883,-6.1394256737166515,3.9215686274509802,-0.20432192,-6.129993756904321,12.738916,1.6816756
58000,1.4283234,0.00026579812,-6.308147747349591,4.115384615384615,-0.19060661,-6.313353455983675,12.603421,1.7097822
