Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
6000,0.010524227,1.4189385,0.00029712002,-947.3099730508511,4495.0,-947.3099670410156
8000,-0.011982537,1.4189386,0.00029570106,-547.0438449438661,2244.0,-547.0438537597656
10000,-0.035142127,1.4189383,0.0002944518,None,None,None
12000,-0.23845768,1.4188194,0.0002933518,-860.7515947744728,4495.0,-860.7515783309937
14000,-0.42779654,1.4188193,0.00029235185,None,None,None
16000,-0.41430452,1.4188194,0.0002909715,-901.639020651055,4496.0,-901.6390686035156
18000,-0.45071775,1.4188194,0.00028972156,-407.5752482242169,1618.0,-407.57525634765625
20000,-0.49158433,1.4188193,0.00028867918,None,None,None
22000,-0.47869578,1.418763,0.0002873853,-690.100853638738,3229.0,-690.1008453369141
24000,-0.7474022,1.4186933,0.00028613943,None,None,None
26000,-0.75691366,1.4186932,0.00028503945,-541.9573910772779,4495.0,-541.9574120044708
28000,-0.7968433,1.4186933,0.00028403942,None,None,None
30000,-0.724211,1.4186935,0.00028258248,-510.85015394858124,3795.0,-510.8501715660095
32000,-0.78332263,1.418592,0.00028112248,-718.4506949372635,3083.0,-718.4507074356079
34000,-0.89312315,1.4184989,0.0002799078,None,None,None
36000,-0.88440967,1.4184989,0.00027880783,-175.70142570646567,4495.0,None
