Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
6000,0.18085402,1.4189385,0.00029712002,-2395.5263110892847,4495.0,-2395.5263061523438
8000,0.11158073,1.4189383,0.0002958,None,None,None
10000,0.13482732,1.4189385,0.00029469977,-2543.4045184943825,4496.0,-2543.404541015625
12000,0.16391057,1.4188837,0.0002936994,None,None,None
14000,-1.0105501,1.4188291,0.00029231914,-2204.567135223071,4496.0,-2204.5671997070312
16000,-1.0037364,1.4188291,0.0002909988,None,None,None
18000,-1.06617,1.4188292,0.00028989857,-2260.9201373681426,4496.0,None
20000,-0.98274034,1.4188292,0.0002888982,None,None,-2260.9201049804688
22000,-1.0461354,1.4188291,0.0002876982,None,None,None
24000,-1.1488795,1.4187256,0.00028631793,-1865.1427924153395,4496.0,-1865.142837524414
26000,-1.4820554,1.4187258,0.0002849976,None,None,None
28000,-1.536738,1.4187257,0.00028389736,-1804.659504571231,4496.0,-1804.6595001220703
30000,-1.3874364,1.4187258,0.000282897,None,None,None
32000,-1.3680973,1.4187256,0.00028151672,-1709.4011618676595,4496.0,-1709.4011688232422
34000,-1.4262418,1.4188021,0.00028019643,None,None,None
36000,-1.6067176,1.4188021,0.00027909616,-1379.539331435226,4496.0,None
38000,-1.6517928,1.418802,0.00027809583,None,None,-1379.539306640625
40000,-1.6219165,1.4188021,0.00027689582,None,None,None
42000,-1.5482594,1.418802,0.00027551554,-1448.6116316854022,4496.0,-1448.6116333007812
44000,-1.632618,1.4187605,0.00027419522,None,None,None
46000,-1.7057538,1.418719,0.00027309495,-1344.008044436574,4496.0,-1344.008056640625
48000,-1.6305921,1.4187188,0.00027209462,None,None,None
50000,-1.6964294,1.4187192,0.00027071434,-1252.6758017367683,4496.0,-1252.67578125
52000,-1.750536,1.4187188,0.00026939402,None,None,None
54000,-1.8645848,1.418719,0.00026829372,-1268.5383548056707,4496.0,None
