Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
150000,0.1802472,5.361005,0.18520209,1.4185159,0.00029805003,116.80967328127251,4495.0,116.80967164039612
180000,0.47030056,7.046898,0.14649484,1.4182937,0.000297525,None,None,None
210000,1.2192314,7.227244,0.1527906,1.4184495,0.00029707508,None,None,None
240000,1.7970812,9.302676,0.15053073,1.4182007,0.00029662502,None,None,None
270000,2.4080622,8.836488,0.1526319,1.4177592,0.000296175,633.655328081036,4496.0,629.7745895056889
300000,2.3144493,None,None,1.4177593,0.00029594958,None,None,746.1966247558594
330000,3.0275464,10.838583,0.13983971,1.4177849,0.00029549957,None,None,None
360000,3.7217903,12.037806,0.14573683,1.4176906,0.00029504954,None,None,None
390000,4.2184587,12.5828705,0.17512295,1.4170723,0.00029459962,None,None,None
420000,4.8728538,12.078642,0.18273947,1.4169846,0.00029399936,893.2436264852881,4496.0,893.2436279296875
450000,5.203548,12.777836,0.15147822,1.417147,0.00029347418,None,None,None
480000,6.2064757,13.67943,0.16601066,1.4171364,0.00029302412,None,None,None
510000,7.5586104,12.487379,0.14734334,1.4169177,0.00029257408,None,None,None
540000,8.520072,11.149362,0.16681777,1.4170396,0.00029212414,990.501364371359,4496.0,987.3319311306394
570000,9.156585,None,None,1.4170396,0.00029189867,None,None,1082.4150772094727
600000,9.726114,12.240004,0.15413642,1.41727,0.0002914486,None,None,None
630000,11.89145,12.88306,0.16227037,1.4171673,0.0002909987,None,None,None
660000,13.605428,11.766151,0.16416837,1.4165801,0.0002905487,None,None,None
690000,14.727391,11.294557,0.15366015,1.4164065,0.00028994845,1140.4639492305307,4496.0,1140.4639536539714
720000,15.207858,11.727174,0.13033974,1.4166086,0.00028942322,None,None,None
750000,16.188295,10.47033,0.14726135,1.4167156,0.00028897315,None,None,None
780000,17.170969,10.373084,0.14055017,1.416155,0.00028852327,None,None,None
810000,17.733673,9.887055,0.17523661,1.4158098,0.0002880732,1184.626732552393,4496.0,1183.0038857295594
840000,18.437813,None,None,1.4158098,0.00028784777,None,None,1231.6893615722656
870000,18.762062,11.123759,0.10720042,1.4159673,0.00028739774,None,None,None
900000,19.759274,10.134016,0.13198389,1.4154667,0.00028694776,None,None,None
930000,20.698675,9.971458,0.15458535,1.4148848,0.0002864977,None,None,None
960000,21.383078,9.696389,0.14553648,1.4145315,0.00028589758,1262.9699608086937,4496.0,1262.96995900472
990000,21.577291,11.492259,0.10929336,1.4147651,0.0002853723,None,None,None
1020000,22.069183,9.386983,0.16930696,1.4144135,0.0002849223,None,None,None
1050000,22.84352,9.065731,0.14962369,1.4140704,0.00028447228,None,None,None
1080000,23.605265,8.997996,0.14864466,1.4137703,0.00028402227,1282.984613502367,4496.0,1281.3475520693023
1110000,23.857637,None,None,1.4137703,0.0002837968,None,None,1330.4595336914062
1140000,24.022638,11.541152,0.10102455,1.4133422,0.0002833469,None,None,None
1170000,24.464993,8.680935,0.1564544,1.413176,0.0002828969,None,None,None
1200000,25.038857,8.799317,0.15464374,1.4130155,0.00028244688,None,None,None
1230000,25.715397,8.813197,0.15436295,1.4125221,0.00028184665,1287.0197164965948,4496.0,1287.019720586141
1260000,25.898407,11.691042,0.07989248,1.4124501,0.00028132138,None,None,None
1290000,26.363684,8.1400585,0.14691775,1.4119604,0.00028087146,None,None,None
1320000,27.061125,8.039135,0.16829886,1.4120117,0.0002804214,None,None,None
1350000,27.72518,8.009992,0.15785982,1.4118856,0.00027997143,1317.6145308750042,4496.0,1317.0373474647258
1380000,27.909538,None,None,1.4118855,0.000279746,None,None,1334.3528442382812
1410000,28.109982,11.6230135,0.090707004,1.4118932,0.00027929601,None,None,None
1440000,28.814205,7.6117635,0.14294821,1.4116479,0.00027884595,None,None,None
1470000,29.567253,7.689479,0.14873672,1.4113998,0.000278396,None,None,None
1500000,30.227222,7.406735,0.13335332,1.4111539,0.00027779574,1368.5125268355323,4496.0,1368.5125165303548
1530000,30.360056,12.222795,0.09772192,1.4110539,0.00027727053,None,None,None
1560000,30.764336,7.1448154,0.17231679,1.4106115,0.00027682047,None,None,None
1590000,31.338259,6.7276034,0.15556453,1.4101814,0.00027637053,None,None,None
1620000,32.18048,6.9987583,0.1348632,1.4098206,0.00027592055,1389.850363957812,4496.0,1388.7967113626414
1650000,32.418343,None,None,1.4098206,0.00027569503,None,None,1420.4062042236328
1680000,32.64075,12.538392,0.09322387,1.4094638,0.00027524514,None,None,None
1710000,33.25856,6.7467103,0.15685593,1.409188,0.00027479508,None,None,None
1740000,33.881557,6.606606,0.17330916,1.4089801,0.00027434508,None,None,None
1770000,34.55537,6.4575067,0.15005325,1.4087492,0.00027374487,1408.6617112211495,4496.0,1408.6617066701253
